user,first_social_sign,number_of_swaps,swaps_category,swapped_before_social,number_stake_actions,current_stake_raw,current_stake,stake_category,staked_before_social,defi_category
4lrmmdc.near,2023-03-04 00:00:00.000,5,1-10 SWAPS,YES,1,0.1,0.1,0-100 STAKED,YES,DEFI MASTER
c3c7ef69c48336b4bec59ac86402424828ff35d44d41834f082f50968d22eb23,2023-02-07 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
nhoa.near,2022-11-10 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,2,-0.01386010769,0.0,NO STAKE,NO,ONLY STAKED
3dd147bcd2efca4d1f1f498996c718b1ce10dce0d87eae1512a4232f1ca8e5ba,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
ganeshrr837891.near,2023-03-06 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
vbbank.near,2022-11-11 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
kalpeshp8996.near,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
fixen.near,2022-11-15 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
legard.near,2022-12-08 00:00:00.000,3,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
vault-boy.near,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
bitcoin3.near,2022-10-30 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
diortega.near,2023-03-02 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
afd32b0578af36ce0d0be112f3583d71be621a1dee25509c9923d8e01b4176a5,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
coineasydao.near,2022-11-27 00:00:00.000,2,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
yayandily.near,2023-02-07 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
tuuran.near,2022-12-21 00:00:00.000,11,11-50 SWAPS,YES,17,249.910696695,249.910696695,+100 STAKED,YES,DEFI MASTER
pramudyapratama.near,2023-03-06 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,4,-0.3784734941,0.0,NO STAKE,YES,ONLY STAKED
kaspars86.near,2022-11-09 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
teppi3011.near,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
ahnaf.near,2023-02-06 00:00:00.000,18,11-50 SWAPS,YES,7,-264.428902242,0.0,NO STAKE,YES,DEFI MASTER
avra.near,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
pankaj21.near,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
b617992b173e60a46f29017f7110398f0bff9b7c0a502cb74a74d7a557d9f896,2023-02-19 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
2fa.near,2023-02-13 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,1,0.5,0.5,0-100 STAKED,YES,ONLY STAKED
c9493b741941d096c4bb1d93effaebd6743b2b5eb7a5f3c044963d2d9c368b1c,2022-10-09 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
662f9dd362c8ded1ee79f7d57d62b777e451c0f3e006a1162a6db206a4149be6,2023-02-19 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
airakib.near,2023-03-04 00:00:00.000,3,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
asilhan.near,2023-01-22 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
artstore.near,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
pollock.near,2023-03-06 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
cc1572a3cb02b4a294af917bf2c0777765f5c3bd272cca4b026576fc2e413c08,2023-03-04 00:00:00.000,2,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
gp9997.near,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
adityo.near,2023-02-07 00:00:00.000,13,11-50 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
camly111.near,2022-11-14 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
nknight.near,2022-11-16 00:00:00.000,175,+50 SWAPS,YES,7,781.773723883,781.773723883,+100 STAKED,YES,DEFI MASTER
gabrielmoss.near,2023-02-08 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
balongga.near,2023-03-07 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
enleap.near,2022-11-04 00:00:00.000,22,11-50 SWAPS,YES,15,1.99002,1.99002,0-100 STAKED,NO,DEFI MASTER
rizwan00.near,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
linh99.near,2022-11-14 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
hypefairy.near,2023-02-15 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
ni888.near,2023-02-27 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
1162cd64a5b9d29fa96922647d18608275bb69147ec8f83bb35f986f65536bb0,2023-02-20 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
mobeor.near,2022-11-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
pompon.near,2022-12-13 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
leex.near,2023-01-15 00:00:00.000,7,1-10 SWAPS,YES,13,1236.714203695,1236.714203695,+100 STAKED,YES,DEFI MASTER
nuelvida.near,2022-10-30 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
294b1c401ce23af3285001bf85ea5cd8d52e12a3f8cc314fd54abac3de2958c3,2022-10-07 00:00:00.000,1,1-10 SWAPS,YES,2,-0.005019589255,0.0,NO STAKE,YES,DEFI MASTER
5bc6f4b6ef1e7c5f16fb5a7916b0f5fa74217cf198c240418de02afd3ffc9c1f,2022-12-23 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
hiteshp.near,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
manutegus.near,2023-02-27 00:00:00.000,47,11-50 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
alfarizqi23.near,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
supahotfire.near,2023-01-28 00:00:00.000,23,11-50 SWAPS,YES,2,-0.02330965628,0.0,NO STAKE,YES,DEFI MASTER
coret297.near,2023-03-04 00:00:00.000,22,11-50 SWAPS,YES,3,0.06537881524,0.06537881524,0-100 STAKED,YES,DEFI MASTER
a544f0e1f995f9b2ed206f4668c8c3581b28f618be455ffc805b35e103779848,2022-11-25 00:00:00.000,1,1-10 SWAPS,NO,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
